image,illum,link,photons,seed,method,PSNR,SSIM,LPIPS,angerr,pearson
truck,GAM4,DT30,10000.0,0,MAVE-16,32.82736189171178,0.9908703171535639,nan,2.684310498782341,0.9966030215503284
cat,GAM4,DT30,10000.0,1,SCORE-OR,21.152373784663755,0.8683085643179008,nan,9.511508741141977,0.897948360881329
deer,GAM4,DT30,10000.0,1,SCORE-OR,24.022838539190083,0.8071994623223191,nan,8.824336057105459,0.9683935805742362
dog,GAM4,DT30,10000.0,1,SCORE-OR,16.71307023400387,0.5136976901728112,nan,9.119146574979467,0.6374720747233538
horse,GAM4,DT30,10000.0,1,SCORE-OR,20.006521953681656,0.8511421224768861,nan,8.99951518372541,0.9042635435397804
airplane,GAM4,DT30,10000.0,1,SCORE-OR,20.241631159849838,0.7264638318853952,nan,9.247521364700972,0.8610055646362977
car,GAM4,DT30,10000.0,1,SCORE-OR,23.319070669053623,0.9578283617057167,nan,8.39539509127922,0.9717322654750467
ship,GAM4,DT30,10000.0,1,SCORE-OR,18.2616933147898,0.6929648652982933,nan,9.071918685557677,0.8690285179991057
truck,GAM4,DT30,10000.0,1,SCORE-OR,22.425523045995494,0.8922788163265423,nan,8.962043285822336,0.960923068364964
cat,GAM4,DT30,10000.0,1,WHITEN-OR,24.099967343523442,0.9378018011355418,nan,6.7964674154152735,0.9452034731728143
deer,GAM4,DT30,10000.0,1,WHITEN-OR,26.338241175279297,0.8727351675976012,nan,6.769422111256945,0.9812672556403396
dog,GAM4,DT30,10000.0,1,WHITEN-OR,19.478322256235035,0.6697009193102125,nan,6.666223458979024,0.7270110473166023
horse,GAM4,DT30,10000.0,1,WHITEN-OR,22.417575041804426,0.9110605594930504,nan,6.851737891120612,0.9401985864647986
airplane,GAM4,DT30,10000.0,1,WHITEN-OR,23.165593322908112,0.8430582668768202,nan,6.622587140619827,0.9239849324742908
car,GAM4,DT30,10000.0,1,WHITEN-OR,26.02342182443472,0.9780678360338233,nan,6.150589665817833,0.984783608157157
ship,GAM4,DT30,10000.0,1,WHITEN-OR,20.833793648447653,0.8120022599451595,nan,6.757767420784672,0.9244380077228721
truck,GAM4,DT30,10000.0,1,WHITEN-OR,25.480614633934753,0.9524507486804663,nan,6.307210400767571,0.9805443149433402
cat,GAM4,DT30,10000.0,1,WHITEN-LW,24.099967343523442,0.9378018011355413,nan,6.796467415415381,0.9452034731728146
deer,GAM4,DT30,10000.0,1,WHITEN-LW,26.338241175279297,0.8727351675976028,nan,6.76942211125689,0.9812672556403393
dog,GAM4,DT30,10000.0,1,WHITEN-LW,19.478322256235035,0.6697009193102136,nan,6.666223458979024,0.7270110473166025
horse,GAM4,DT30,10000.0,1,WHITEN-LW,22.417575041804426,0.9110605594930496,nan,6.851737891120505,0.9401985864647981
airplane,GAM4,DT30,10000.0,1,WHITEN-LW,23.165593322908112,0.8430582668768123,nan,6.622587140619718,0.9239849324742908
car,GAM4,DT30,10000.0,1,WHITEN-LW,26.02342182443472,0.9780678360338227,nan,6.150589665817773,0.9847836081571568
ship,GAM4,DT30,10000.0,1,WHITEN-LW,20.833793648447653,0.8120022599451576,nan,6.757767420784781,0.9244380077228721
truck,GAM4,DT30,10000.0,1,WHITEN-LW,25.480614633934753,0.9524507486804654,nan,6.307210400767687,0.98054431494334
cat,GAM4,DT30,10000.0,1,SIR-10,23.68857271496804,0.9327657724582232,nan,7.123120767384333,0.940199621573722
deer,GAM4,DT30,10000.0,1,SIR-10,26.12727980071609,0.8681509681512963,nan,6.931133072029814,0.9804094605043548
dog,GAM4,DT30,10000.0,1,SIR-10,19.083330014588398,0.6524620485441176,nan,6.972762123334457,0.7133975764318597
horse,GAM4,DT30,10000.0,1,SIR-10,22.13260474351131,0.9059314391781962,nan,7.079174391580385,0.936345315016455
airplane,GAM4,DT30,10000.0,1,SIR-10,22.85806247997396,0.8353294656946083,nan,6.855686863195316,0.9199414956244817
car,GAM4,DT30,10000.0,1,SIR-10,25.934010458379483,0.9778622588258702,nan,6.214188675793588,0.9844684945771445
ship,GAM4,DT30,10000.0,1,SIR-10,20.58044291450114,0.8050594913993837,nan,6.950872116317019,0.9216489822547221
truck,GAM4,DT30,10000.0,1,SIR-10,24.98641423467475,0.9495908242237157,nan,6.676714386725101,0.978203134824963
cat,GAM4,DT30,10000.0,1,SIR-20,23.917235855659005,0.935728175387804,nan,6.938720560396551,0.9431537662036508
deer,GAM4,DT30,10000.0,1,SIR-20,26.205296534518055,0.8711283131900427,nan,6.8732624082724625,0.9806954018958715
dog,GAM4,DT30,10000.0,1,SIR-20,19.30268495608982,0.664878329103568,nan,6.8011427727860845,0.7199942124314778
